Term,"Category ","Parent ","Function ",Child
,,,,
"Forebrain ",Division,,"Forebrain: Governs complex cognitive functions such as thought, emotion, and voluntary movement.","Telencephalon  (https://www.notion.so/Telencephalon-1164f5eb852480fba218cac3dd79e421?pvs=21), Diencephalon  (https://www.notion.so/Diencephalon-1164f5eb852480f6906df08474c2dbb3?pvs=21), Lateral Ventricle (https://www.notion.so/Lateral-Ventricle-1164f5eb8524807d954fc5c8ac7388a1?pvs=21), Third Ventricle (https://www.notion.so/Third-Ventricle-1164f5eb852480e2810ce74aaea0db48?pvs=21)"
"Midbrain ",Division,Brain Stem (https://www.notion.so/Brain-Stem-1164f5eb8524807fa19ccc6e5da500b1?pvs=21),Relays sensory and motor signals and manages basic visual and auditory reflexes.,"Mesencephalon  (https://www.notion.so/Mesencephalon-1164f5eb852480e895e8fedcb0acc404?pvs=21), Cerebral Aqueduct (https://www.notion.so/Cerebral-Aqueduct-1164f5eb85248074a2a2e6b360fa3a71?pvs=21)"
"Hindbrain ",Division,Brain Stem (https://www.notion.so/Brain-Stem-1164f5eb8524807fa19ccc6e5da500b1?pvs=21),"Controls essential life-sustaining functions like breathing, heartbeat, and motor coordination.","Metencephalon  (https://www.notion.so/Metencephalon-1164f5eb85248078b79fc27b636d75bd?pvs=21), Myelencephalon  (https://www.notion.so/Myelencephalon-1164f5eb852480b984dfd73a21bbd03f?pvs=21), Fourth Ventricle (https://www.notion.so/Fourth-Ventricle-1164f5eb852480b68f82cd38dad10db3?pvs=21)"
"Telencephalon ",Subdivision,Forebrain  (https://www.notion.so/Forebrain-c239c893320a423a9ebc4e45d0c1d30a?pvs=21),"Manages higher brain functions, including sensory perception, motor skills, and cognition.","Cerebrum  (https://www.notion.so/Cerebrum-1164f5eb852480788afac920d7701cdc?pvs=21), Cerebral Cortex (https://www.notion.so/Cerebral-Cortex-1164f5eb852480c7a9bcf0ca74cad201?pvs=21), Basal Ganglia (https://www.notion.so/Basal-Ganglia-1164f5eb852480c48abeffec0e0083b0?pvs=21), Limbic System (https://www.notion.so/Limbic-System-1164f5eb852480aeb4ecfafcc5f07fe2?pvs=21), Corpus Callosum (https://www.notion.so/Corpus-Callosum-1164f5eb85248093a1acd14a634c0371?pvs=21)"
"Diencephalon ",Subdivision,Forebrain  (https://www.notion.so/Forebrain-c239c893320a423a9ebc4e45d0c1d30a?pvs=21),Acts as a relay station for sensory information and helps regulate autonomic functions and emotions.,"Thalamus (https://www.notion.so/Thalamus-1164f5eb852480c2b28de2ef5b135d91?pvs=21), Hypothalamus (https://www.notion.so/Hypothalamus-1164f5eb85248046a823eb849f21d4ad?pvs=21), Reticular Formation  (https://www.notion.so/Reticular-Formation-1164f5eb852480d88dd6f6118cfc0b3c?pvs=21)"
"Mesencephalon ",Subdivision,Midbrain  (https://www.notion.so/Midbrain-e8099afe626143b5a38da74183a3256c?pvs=21),Coordinates sensory input with motor responses and is crucial for vision and hearing reflexes.,"Tectum (https://www.notion.so/Tectum-1164f5eb85248092834bf119abf82821?pvs=21), Tegmentum (https://www.notion.so/Tegmentum-1164f5eb852480c7a739cb176e6d2e7b?pvs=21), Reticular Formation  (https://www.notion.so/Reticular-Formation-1164f5eb852480d88dd6f6118cfc0b3c?pvs=21), Periaquaductal gray matter (https://www.notion.so/Periaquaductal-gray-matter-1164f5eb852480678d14fde7555febe4?pvs=21), Red Nucleus (https://www.notion.so/Red-Nucleus-1164f5eb8524808f821cc9f77b3eb7fe?pvs=21), Substantia Niagra (https://www.notion.so/Substantia-Niagra-1164f5eb852480b6b4c5e8498b701e55?pvs=21)"
"Metencephalon ",Subdivision,Hindbrain  (https://www.notion.so/Hindbrain-01e3cdb95d45498fbf8432d4e76f1507?pvs=21),"Involved in motor control and coordination, particularly through the cerebellum and pons.","Cerebellum (https://www.notion.so/Cerebellum-1164f5eb8524807e9425ed6d85a70f95?pvs=21), Pons (https://www.notion.so/Pons-1164f5eb8524809e8a17f2ec37f3f5df?pvs=21)"
"Myelencephalon ",Subdivision,Hindbrain  (https://www.notion.so/Hindbrain-01e3cdb95d45498fbf8432d4e76f1507?pvs=21),"Controls vital autonomic functions such as heart rate, breathing, and blood pressure through the medulla oblongata.",Medulla Oblongata (https://www.notion.so/Medulla-Oblongata-1164f5eb85248076ac25e66aaa42948e?pvs=21)
"Cerebrum ",Region,Telencephalon  (https://www.notion.so/Telencephalon-1164f5eb852480fba218cac3dd79e421?pvs=21),"Responsible for integrating sensory information, reasoning, emotions, and voluntary motor activities.","Cerebral Cortex (https://www.notion.so/Cerebral-Cortex-1164f5eb852480c7a9bcf0ca74cad201?pvs=21), Basal Ganglia (https://www.notion.so/Basal-Ganglia-1164f5eb852480c48abeffec0e0083b0?pvs=21), Limbic System (https://www.notion.so/Limbic-System-1164f5eb852480aeb4ecfafcc5f07fe2?pvs=21)"
Cerebral Cortex,Structure,"Telencephalon  (https://www.notion.so/Telencephalon-1164f5eb852480fba218cac3dd79e421?pvs=21), Cerebrum  (https://www.notion.so/Cerebrum-1164f5eb852480788afac920d7701cdc?pvs=21)","The outermost layer of the cerebrum, responsible for higher-order brain functions, including perception, thought, and decision-making.","Frontal Lobe (https://www.notion.so/Frontal-Lobe-1164f5eb8524801f8e47dd407e52bc3a?pvs=21), Parietal Lobe (https://www.notion.so/Parietal-Lobe-1164f5eb852480f3b078e6d5f0aada1b?pvs=21), Temporal Lobe (https://www.notion.so/Temporal-Lobe-1164f5eb8524806fae2fe0a091051a4a?pvs=21), Occipital Lobe (https://www.notion.so/Occipital-Lobe-1164f5eb8524807aade9e4c693b91a28?pvs=21)"
Basal Ganglia,Structure,"Telencephalon  (https://www.notion.so/Telencephalon-1164f5eb852480fba218cac3dd79e421?pvs=21), Cerebrum  (https://www.notion.so/Cerebrum-1164f5eb852480788afac920d7701cdc?pvs=21)","A group of nuclei that regulate voluntary motor movements, procedural learning, and habits.",
Limbic System,Region,"Telencephalon  (https://www.notion.so/Telencephalon-1164f5eb852480fba218cac3dd79e421?pvs=21), Cerebrum  (https://www.notion.so/Cerebrum-1164f5eb852480788afac920d7701cdc?pvs=21)","A complex system responsible for emotion,  behavior, motivation, and memory.","Limbic Cortex (https://www.notion.so/Limbic-Cortex-1164f5eb852480ae9c9dffc3056d0820?pvs=21), Cingulate Gyrus (https://www.notion.so/Cingulate-Gyrus-1164f5eb8524808f9a0fe27a6995006e?pvs=21), Hippocampus (https://www.notion.so/Hippocampus-1164f5eb852480e99135fa3a3742298f?pvs=21), Amygdala (https://www.notion.so/Amygdala-1164f5eb852480ed838fdacee2094208?pvs=21), Fornix (https://www.notion.so/Fornix-1164f5eb85248069af21caec1da0f70a?pvs=21), Mammillary Bodies (https://www.notion.so/Mammillary-Bodies-1164f5eb852480608369dfe7e0a75911?pvs=21)"
Thalamus,Structure,Diencephalon  (https://www.notion.so/Diencephalon-1164f5eb852480f6906df08474c2dbb3?pvs=21),"Acts as the brain’s relay center,  processing and transmitting sensory and motor signals to the cerebral cortex.",Massa Intermedia (https://www.notion.so/Massa-Intermedia-1164f5eb852480c48102caa2aaf9c733?pvs=21)
Hypothalamus,Structure,Diencephalon  (https://www.notion.so/Diencephalon-1164f5eb852480f6906df08474c2dbb3?pvs=21),"Maintains homeostasis by regulating bodily functions such as temperature, hunger, and thirst, and controlling the endocrine system.","Pituitary Gland (https://www.notion.so/Pituitary-Gland-1164f5eb852480918b24d32621871be4?pvs=21), Optic Chiasm (https://www.notion.so/Optic-Chiasm-1164f5eb8524805c91d4c440c865c39a?pvs=21)"
Tegmentum,Structure,,"A region in the brainstem involved in motor control, arousal, and some aspects of consciousness.",
Cerebellum,Structure,Metencephalon  (https://www.notion.so/Metencephalon-1164f5eb85248078b79fc27b636d75bd?pvs=21),,"Cerebellar Cortex (https://www.notion.so/Cerebellar-Cortex-1164f5eb85248076bd3ccc5099d90ed5?pvs=21), Inferior Cerebellar Peduncle (https://www.notion.so/Inferior-Cerebellar-Peduncle-1164f5eb85248002bc7fec1293c4bc1c?pvs=21), Superior Cerebellar Peduncle (https://www.notion.so/Superior-Cerebellar-Peduncle-1164f5eb852480a39676d3f74af79a9e?pvs=21), Middle Cerebellar Peduncle (https://www.notion.so/Middle-Cerebellar-Peduncle-1164f5eb852480229858d571b4f86093?pvs=21)"
Pons,Structure,Metencephalon  (https://www.notion.so/Metencephalon-1164f5eb85248078b79fc27b636d75bd?pvs=21),"Connects the upper and lower parts of the brain, and plays a role in sleep, respiration, and motor control.",
Medulla Oblongata,Structure,,"Regulates autonomic functions such as heart rate, breathing, and blood pressure.",
Lateral Ventricle,Ventricle,Forebrain  (https://www.notion.so/Forebrain-c239c893320a423a9ebc4e45d0c1d30a?pvs=21),,
Third Ventricle,Ventricle,Forebrain  (https://www.notion.so/Forebrain-c239c893320a423a9ebc4e45d0c1d30a?pvs=21),,
Cerebral Aqueduct,Ventricle,Midbrain  (https://www.notion.so/Midbrain-e8099afe626143b5a38da74183a3256c?pvs=21),,
Fourth Ventricle,Ventricle,Hindbrain  (https://www.notion.so/Hindbrain-01e3cdb95d45498fbf8432d4e76f1507?pvs=21),,
Frontal Lobe,Lobe,Cerebral Cortex (https://www.notion.so/Cerebral-Cortex-1164f5eb852480c7a9bcf0ca74cad201?pvs=21)," Responsible for complex cognitive functions such as decision-making, problem-solving, planning, and controlling voluntary  movements.","Motor Cortex (https://www.notion.so/Motor-Cortex-1164f5eb852480c6997ffa8d5e1f4b89?pvs=21), Motor Association Cortex (https://www.notion.so/Motor-Association-Cortex-1164f5eb852480ca924ad445b0fd76df?pvs=21)"
Parietal Lobe,Lobe,Cerebral Cortex (https://www.notion.so/Cerebral-Cortex-1164f5eb852480c7a9bcf0ca74cad201?pvs=21)," Processes sensory information like touch,
  temperature, and spatial awareness.","Somatosensory Cortex (https://www.notion.so/Somatosensory-Cortex-1164f5eb8524801aa0a1ef5a9503a742?pvs=21), Sensory Association Cortex (https://www.notion.so/Sensory-Association-Cortex-1164f5eb852480028431ce9d0d3e0d89?pvs=21)"
Temporal Lobe,Lobe,Cerebral Cortex (https://www.notion.so/Cerebral-Cortex-1164f5eb852480c7a9bcf0ca74cad201?pvs=21)," Involved in processing auditory information,
  memory, and language comprehension.",Auditory Cortex (https://www.notion.so/Auditory-Cortex-1164f5eb85248075a6d6d97aa26dea9f?pvs=21)
Occipital Lobe,Lobe,Cerebral Cortex (https://www.notion.so/Cerebral-Cortex-1164f5eb852480c7a9bcf0ca74cad201?pvs=21)," Primarily responsible for processing visual
  information.",Visual Cortex (https://www.notion.so/Visual-Cortex-1164f5eb8524805b8000cebb20ca4753?pvs=21)
Visual Cortex,Cortex,Occipital Lobe (https://www.notion.so/Occipital-Lobe-1164f5eb8524807aade9e4c693b91a28?pvs=21)," The region that interprets visual stimuli
  from the eyes to construct an understanding of the visual environment.",
Auditory Cortex,Cortex,Temporal Lobe (https://www.notion.so/Temporal-Lobe-1164f5eb8524806fae2fe0a091051a4a?pvs=21)," Processes and interprets sound information
  from the ears, crucial for recognizing speech and music.",
Somatosensory Cortex,Cortex,Parietal Lobe (https://www.notion.so/Parietal-Lobe-1164f5eb852480f3b078e6d5f0aada1b?pvs=21)," Receives and processes sensory input from
  the body, such as touch, pressure, and temperature.",
Sensory Association Cortex,"Association Area, Cortex",Parietal Lobe (https://www.notion.so/Parietal-Lobe-1164f5eb852480f3b078e6d5f0aada1b?pvs=21)," Integrates and interprets sensory
  information to provide a comprehensive perception of the environment.",
Motor Cortex,Cortex,Frontal Lobe (https://www.notion.so/Frontal-Lobe-1164f5eb8524801f8e47dd407e52bc3a?pvs=21)," Controls and coordinates voluntary muscle
  movements throughout the body.",
Motor Association Cortex,"Association Area, Cortex",Frontal Lobe (https://www.notion.so/Frontal-Lobe-1164f5eb8524801f8e47dd407e52bc3a?pvs=21)," Plans and organizes voluntary movements
  before they are carried out by the motor cortex.",
Corpus Callosum,Structure,Telencephalon  (https://www.notion.so/Telencephalon-1164f5eb852480fba218cac3dd79e421?pvs=21),,
Limbic Cortex,Structure,Limbic System (https://www.notion.so/Limbic-System-1164f5eb852480aeb4ecfafcc5f07fe2?pvs=21),,
Cingulate Gyrus,Structure,Limbic System (https://www.notion.so/Limbic-System-1164f5eb852480aeb4ecfafcc5f07fe2?pvs=21),,
Hippocampus,Structure,Limbic System (https://www.notion.so/Limbic-System-1164f5eb852480aeb4ecfafcc5f07fe2?pvs=21),,
Amygdala,Structure,Limbic System (https://www.notion.so/Limbic-System-1164f5eb852480aeb4ecfafcc5f07fe2?pvs=21),,
Fornix,Structure,Limbic System (https://www.notion.so/Limbic-System-1164f5eb852480aeb4ecfafcc5f07fe2?pvs=21),,
Mammillary Bodies,Structure,Limbic System (https://www.notion.so/Limbic-System-1164f5eb852480aeb4ecfafcc5f07fe2?pvs=21),,
Massa Intermedia,Structure,Thalamus (https://www.notion.so/Thalamus-1164f5eb852480c2b28de2ef5b135d91?pvs=21),,
Cerebellum,Structure,,,
Pituitary Gland,Structure,Hypothalamus (https://www.notion.so/Hypothalamus-1164f5eb85248046a823eb849f21d4ad?pvs=21),,"Anterior Pituitary Gland (https://www.notion.so/Anterior-Pituitary-Gland-1164f5eb85248032b84cd078fef9f5b1?pvs=21), Posterior Pituitary Gland (https://www.notion.so/Posterior-Pituitary-Gland-1164f5eb85248082b074e0a211c9d6cf?pvs=21)"
Optic Chiasm,Structure,Hypothalamus (https://www.notion.so/Hypothalamus-1164f5eb85248046a823eb849f21d4ad?pvs=21),,
Anterior Pituitary Gland,Structure,Pituitary Gland (https://www.notion.so/Pituitary-Gland-1164f5eb852480918b24d32621871be4?pvs=21),,
Posterior Pituitary Gland,Structure,Pituitary Gland (https://www.notion.so/Pituitary-Gland-1164f5eb852480918b24d32621871be4?pvs=21),,
Tectum,Structure,Mesencephalon  (https://www.notion.so/Mesencephalon-1164f5eb852480e895e8fedcb0acc404?pvs=21),,"Superior Colliculi (https://www.notion.so/Superior-Colliculi-1164f5eb852480a3a94adf56c29a1f7f?pvs=21), Inferior Colliculi (https://www.notion.so/Inferior-Colliculi-1164f5eb85248073a057ece3ef384fdd?pvs=21)"
Superior Colliculi,Structure,Tectum (https://www.notion.so/Tectum-1164f5eb85248092834bf119abf82821?pvs=21),,
Inferior Colliculi,Structure,Tectum (https://www.notion.so/Tectum-1164f5eb85248092834bf119abf82821?pvs=21),,
Brain Stem,Subdivision,,Includes the Midbrain and Hindbrain,"Midbrain  (https://www.notion.so/Midbrain-e8099afe626143b5a38da74183a3256c?pvs=21), Hindbrain  (https://www.notion.so/Hindbrain-01e3cdb95d45498fbf8432d4e76f1507?pvs=21)"
Tegmentum,Structure,Mesencephalon  (https://www.notion.so/Mesencephalon-1164f5eb852480e895e8fedcb0acc404?pvs=21),,
"Reticular Formation ",Structure,"Mesencephalon  (https://www.notion.so/Mesencephalon-1164f5eb852480e895e8fedcb0acc404?pvs=21), Diencephalon  (https://www.notion.so/Diencephalon-1164f5eb852480f6906df08474c2dbb3?pvs=21)",,
Periaquaductal gray matter,Structure,Mesencephalon  (https://www.notion.so/Mesencephalon-1164f5eb852480e895e8fedcb0acc404?pvs=21),,
Red Nucleus,Structure,Mesencephalon  (https://www.notion.so/Mesencephalon-1164f5eb852480e895e8fedcb0acc404?pvs=21),,
Substantia Niagra,Structure,Mesencephalon  (https://www.notion.so/Mesencephalon-1164f5eb852480e895e8fedcb0acc404?pvs=21),,
Pons,Structure,,,
Cerebellar Cortex,Structure,Cerebellum (https://www.notion.so/Cerebellum-1164f5eb8524807e9425ed6d85a70f95?pvs=21),,
Inferior Cerebellar Peduncle,Structure,Cerebellum (https://www.notion.so/Cerebellum-1164f5eb8524807e9425ed6d85a70f95?pvs=21),,
Superior Cerebellar Peduncle,Structure,Cerebellum (https://www.notion.so/Cerebellum-1164f5eb8524807e9425ed6d85a70f95?pvs=21),,
Middle Cerebellar Peduncle,Structure,Cerebellum (https://www.notion.so/Cerebellum-1164f5eb8524807e9425ed6d85a70f95?pvs=21),,
Medulla Oblongata,Structure,Myelencephalon  (https://www.notion.so/Myelencephalon-1164f5eb852480b984dfd73a21bbd03f?pvs=21),,
Spinal Cord,Structure,,,
Meninges,Structure,,,"Dura Mater (https://www.notion.so/Dura-Mater-1164f5eb852480e79ee9f975b49160bb?pvs=21), Arachnoid Membrane (https://www.notion.so/Arachnoid-Membrane-1164f5eb85248094b6f9fda916b6f6bc?pvs=21), Pia Mater (https://www.notion.so/Pia-Mater-1164f5eb852480548753c9b1fd47bbaa?pvs=21)"
Dura Mater,Structure,Meninges (https://www.notion.so/Meninges-1164f5eb852480629490d167f2e35e4a?pvs=21),,
Arachnoid Membrane,Structure,Meninges (https://www.notion.so/Meninges-1164f5eb852480629490d167f2e35e4a?pvs=21),,
Pia Mater,Structure,Meninges (https://www.notion.so/Meninges-1164f5eb852480629490d167f2e35e4a?pvs=21),,